Date,price,trend_state,vol_state,regime,confidence
2001-02-16,130.39999389648438,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.7021163078431126
2001-02-20,128.38999938964844,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6955636368526065
2001-02-21,125.62000274658203,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6694038486180872
2001-02-22,125.80999755859375,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6877101883679441
2001-02-23,124.95999908447266,DOWN,HIGH,RISK_OFF_TRANSITION,0.7019230151048773
2001-02-26,127.62000274658203,DOWN,HIGH,RISK_OFF_TRANSITION,0.6143108963869323
2001-02-27,126.44000244140625,DOWN,HIGH,RISK_OFF,0.45640837325533296
2001-02-28,123.94999694824219,DOWN,HIGH,RISK_OFF,0.46231901734526837
2001-03-01,124.5999984741211,DOWN,HIGH,RISK_OFF,0.4607888404383564
2001-03-02,123.61000061035156,DOWN,HIGH,RISK_OFF,0.4962797426989728
2001-03-05,124.73999786376953,DOWN,HIGH,RISK_OFF,0.5346358874886621
2001-03-06,126.08000183105469,DOWN,HIGH,RISK_OFF,0.5355926950347116
2001-03-07,126.9800033569336,DOWN,HIGH,RISK_OFF,0.5327471724373489
2001-03-08,127.12000274658203,DOWN,HIGH,RISK_OFF,0.545739981792061
2001-03-09,123.36000061035156,DOWN,HIGH,RISK_OFF,0.535
2001-03-12,118.08000183105469,DOWN,HIGH,RISK_OFF,0.55
2001-03-13,120.0199966430664,DOWN,HIGH,RISK_OFF,0.5650000000000001
2001-03-14,117.6500015258789,DOWN,HIGH,RISK_OFF,0.5800000000000001
2001-03-15,117.68000030517578,DOWN,HIGH,RISK_OFF,0.595
2001-03-16,115.01000213623047,DOWN,HIGH,RISK_OFF,0.61
2001-03-19,117.3499984741211,DOWN,HIGH,RISK_OFF,0.625
2001-03-20,114.19999694824219,DOWN,HIGH,RISK_OFF,0.64
2001-03-21,112.26000213623047,DOWN,HIGH,RISK_OFF,0.655
2001-03-22,111.12000274658203,DOWN,HIGH,RISK_OFF,0.67
2001-03-23,114.4800033569336,DOWN,HIGH,RISK_OFF,0.685
2001-03-26,115.94000244140625,DOWN,HIGH,RISK_OFF,0.7
2001-03-27,118.30999755859375,DOWN,HIGH,RISK_OFF,0.7
2001-03-28,115.04000091552734,DOWN,HIGH,RISK_OFF,0.7
2001-03-29,115.4800033569336,DOWN,HIGH,RISK_OFF,0.7
2001-03-30,116.69000244140625,DOWN,HIGH,RISK_OFF,0.7
2001-04-02,114.19999694824219,DOWN,HIGH,RISK_OFF,0.7
2001-04-03,110.38999938964844,DOWN,HIGH,RISK_OFF,0.7
2001-04-04,110.8499984741211,DOWN,HIGH,RISK_OFF,0.7
2001-04-05,115.05000305175781,DOWN,HIGH,RISK_OFF,0.7
2001-04-06,113.30000305175781,DOWN,HIGH,RISK_OFF,0.7
2001-04-09,114.55999755859375,DOWN,HIGH,RISK_OFF,0.7
2001-04-10,116.6500015258789,DOWN,HIGH,RISK_OFF,0.7
2001-04-11,116.7300033569336,DOWN,HIGH,RISK_OFF,0.7
2001-04-12,118.8499984741211,DOWN,HIGH,RISK_OFF,0.7
2001-04-16,117.5999984741211,DOWN,HIGH,RISK_OFF,0.7
2001-04-17,119.26000213623047,DOWN,HIGH,RISK_OFF,0.7
2001-04-18,124.0,DOWN,HIGH,RISK_OFF,0.7
2001-04-19,125.6500015258789,DOWN,HIGH,RISK_OFF,0.7
2001-04-20,124.5,DOWN,HIGH,RISK_OFF,0.7
2001-04-23,122.23999786376953,DOWN,HIGH,RISK_OFF,0.7
2001-04-24,121.58000183105469,DOWN,HIGH,RISK_OFF,0.7
2001-04-25,123.16999816894531,DOWN,HIGH,RISK_OFF,0.7
2001-04-26,123.72000122070312,DOWN,HIGH,RISK_OFF,0.7
2001-04-27,125.77999877929688,DOWN,HIGH,RISK_OFF,0.7
2001-04-30,126.66000366210938,DOWN,HIGH,RISK_OFF,0.7
2001-05-01,127.05000305175781,DOWN,HIGH,RISK_OFF,0.7
2001-05-02,126.81999969482422,DOWN,HIGH,RISK_OFF,0.7
2001-05-03,125.20999908447266,DOWN,HIGH,RISK_OFF,0.7
2001-05-04,127.33999633789062,DOWN,HIGH,RISK_OFF,0.7
2001-05-07,126.23999786376953,DOWN,HIGH,RISK_OFF,0.7
2001-05-08,126.18000030517578,DOWN,HIGH,RISK_OFF,0.7
2001-05-09,125.6500015258789,DOWN,HIGH,RISK_OFF,0.7
2001-05-10,126.0199966430664,DOWN,HIGH,RISK_OFF,0.7
2001-05-11,125.1500015258789,DOWN,HIGH,RISK_OFF,0.7
2001-05-14,125.4000015258789,DOWN,HIGH,RISK_OFF,0.7
