Regime,Average Daily Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Observations
BULL_EXPANSION,0.0009551834830403055,0.24070623772615699,0.16502807145498447,1.4585775353486794,-0.12740492407259427,598
RISK_OFF,-4.393366940715665e-05,-0.011071284690603476,0.31528690708283374,-0.0351149522605922,-0.6000129185737277,1493
RISK_OFF_TRANSITION,-0.00040526402513624905,-0.10212653433433476,0.1945728245754641,-0.5248756323354163,-0.30346481317384144,340
RISK_ON,0.00015592549931340175,0.03929322582697724,0.11159644613929848,0.3521010496869237,-0.2230464523789744,1962
RISK_ON_FRAGILE,0.00046348716393317536,0.1167987653111602,0.13217003076507078,0.8837008256339695,-0.21972201752891862,1989
